Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records,,,,,,,,,,,,,,,,,,
146,P8MEA_FSM6CLA1A,Progress 8 measure - disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
147,P8CILOW_FSM6CLA1A,Progress 8 lower 95% confidence interval - disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
148,P8CIUPP_FSM6CLA1A,Progress 8 upper 95% confidence interval - disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
149,ATT8SCR_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil,,,,Yes,,,,,,,,,,,,,,,,,,,
150,P8PUP_NFSM6CLA1A,Number of non-disadvantaged pupils in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
151,P8MEA_NFSM6CLA1A,Progress 8 measure - non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
152,P8CILOW_NFSM6CLA1A,Progress 8 lower 95% confidence interval - non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
153,P8CIUPP_NFSM6CLA1A,Progress 8 upper 95% confidence interval - non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
154,ATT8SCRENG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for English element,,,,Yes,,,,,,,,,,,,,,,,,,,
155,P8MEAENG_FSM6CLA1A,Progress 8 measure for English element - disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
156,P8MEAENG_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 English element for disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
157,P8MEAENG_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 English element for disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
158,ATT8SCRMAT_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for mathematics element,,,,Yes,,,,,,,,,,,,,,,,,,,
159,P8MEAMAT_FSM6CLA1A,Progress 8 measure for maths element - disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
160,P8MEAMAT_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 maths element for disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
161,P8MEAMAT_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 maths element for disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
162,ATT8SCREBAC_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for EBacc element,,,,Yes,,,,,,,,,,,,,,,,,,,
163,P8MEAEBAC_FSM6CLA1A,Progress 8 measure for EBacc element - disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
164,P8MEAEBAC_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 EBacc element for disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
165,P8MEAEBAC_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 EBacc element for disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
166,ATT8SCROPEN_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element,,,,Yes,,,,,,,,,,,,,,,,,,,
167,P8MEAOPEN_FSM6CLA1A,Progress 8 measure for open element - disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
168,P8MEAOPEN_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 open element for disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
169,P8MEAOPEN_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 open element for disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
170,ATT8SCRENG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for English element,,,,Yes,,,,,,,,,,,,,,,,,,,
171,P8MEAENG_NFSM6CLA1A,Progress 8 measure for English element - non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
172,P8MEAENG_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 English element for non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
173,P8MEAENG_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 English element for non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
174,ATT8SCRMAT_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for mathematics element,,,,Yes,,,,,,,,,,,,,,,,,,,
175,P8MEAMAT_NFSM6CLA1A,Progress 8 measure for maths element - non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
176,P8MEAMAT_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 maths element for non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
177,P8MEAMAT_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 maths element for non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
178,ATT8SCREBAC_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for EBacc element,,,,Yes,,,,,,,,,,,,,,,,,,,
179,P8MEAEBAC_NFSM6CLA1A,Progress 8 measure for EBacc element - non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
180,P8MEAEBAC_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 EBacc element for non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
181,P8MEAEBAC_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 EBacc element for non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
182,ATT8SCROPEN_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element,,,,Yes,,,,,,,,,,,,,,,,,,,
183,P8MEAOPEN_NFSM6CLA1A,Progress 8 measure for open element - non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
184,P8MEAOPEN_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 open element for non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
185,P8MEAOPEN_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 open element for non-disadvantaged pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
186,ATT8SCROPENG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element - GCSE only,,,,Yes,,,,,,,,,,,,,,,,,,,
187,ATT8SCROPENNG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element - non-GCSE only,,,,Yes,,,,,,,,,,,,,,,,,,,
188,ATT8SCROPENG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element - GCSE only,,,,Yes,,,,,,,,,,,,,,,,,,,
189,ATT8SCROPENNG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element - non-GCSE only,,,,Yes,,,,,,,,,,,,,,,,,,,
190,DIFFN_ATT8,Difference between Attainment 8 for disadvantaged pupils in school/LA and non-disadvantaged pupils nationally,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
191,DIFFN_P8MEA,Difference between Progress 8 measure for disadvantaged pupils in school/LA and non-disadvantaged pupils nationally,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
192,ATT8SCR_LO,Average Attainment 8 score per pupil with low prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
193,P8PUP_LO,Number of pupils with low prior attainment included in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
194,P8MEA_LO,Progress 8 measure - pupils with low prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
195,P8CILOW_LO,Progress 8 lower 95% confidence interval - pupils with low prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
196,P8CIUPP_LO,Progress 8 upper 95% confidence interval - pupils with low prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
197,ATT8SCR_AV,Average Attainment 8 score per pupil with middle prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
